1|2019-11-16|21:20:04.418|debtcard|12.6
2|2019-11-16|21:22:50.672|cash|16.8
3|2019-11-17|11:29:06.232|cash|27.3
4|2019-11-17|12:49:40.246|cash|16.8
5|2019-11-17|12:53:11.219|creditcard|14.7
6|2019-11-17|12:54:24.464|cash|10.5
7|2019-11-17|13:04:27.809|debtcard|14.7
8|2019-11-17|13:09:29.807|creditcard|25.200000000000003
9|2019-11-17|13:10:36.210|creditcard|12.600000000000001
10|2019-11-17|13:35:42.858|creditcard|12.6
11|2019-11-17|13:42:35.409|cash|10.5
12|2019-11-17|13:45:46.855|cash|12.600000000000001
13|2019-11-17|13:47:27.352|creditcard|4.2
14|2019-11-17|13:48:36.604|debtcard|8.4
15|2019-11-17|13:50:32.442|debtcard|21.0
16|2019-11-17|15:21:30.624|creditcard|25.2
17|2019-11-23|11:54:54.606|cash|4.2
