1|12.6|1|13|10.5|10.5|1|1
1|12.6|2|67|10.5|2.1|1|1
2|16.8|1|3|10.5|4.2|2|2
2|16.8|2|89|10.5|2.1|2|2
2|16.8|3|17|10.5|10.5|2|2
3|27.3|1|5|10.5|4.2|2|3
3|27.3|2|16|10.5|10.5|2|3
3|27.3|3|28|10.5|10.5|2|3
3|27.3|4|70|10.5|2.1|2|3
4|16.8|1|5|10.5|4.2|2|4
4|16.8|2|23|10.5|10.5|2|4
4|16.8|3|79|10.5|2.1|2|4
5|14.7|1|5|10.5|4.2|3|5
5|14.7|2|45|10.5|10.5|3|5
6|10.5|1|25|10.5|10.5|2|67|14.7|1|5|10.5|4.2|12|7
7|14.7|2|56|10.5|10.5|12|7
8|25.200000000000003|1|23|10.5|10.5|12|8
8|25.200000000000003|2|45|10.5|10.5|12|8
8|25.200000000000003|3|66|10.5|2.1|12|8
8|25.200000000000003|4|78|10.5|2.1|12|8
9|12.600000000000001|1|6|10.5|4.2|9|9
9|12.600000000000001|2|7|10.5|4.2|9|9
9|12.600000000000001|3|8|10.5|4.2|9|9
10|12.6|1|23|10.5|10.5|13|10
10|12.6|2|78|10.5|2.1|13|10
11|10.5|1|45|10.5|10.5|7|11
12|12.600000000000001|1|5|10.5|4.2|4|12
12|12.600000000000001|2|11|10.5|4.2|4|12
12|12.600000000000001|3|10|10.5|4.2|4|12
13|4.2|1|12|10.5|4.2|10|13
14|8.4|1|5|10.5|4.2|10|14
14|8.4|2|7|10.5|4.2|10|14
15|21.0|1|3|10.5|4.2|13|15
15|21.0|2|6|10.5|4.2|13|15
15|21.0|3|78|10.5|2.1|13|15
15|21.0|4|45|10.5|10.5|13|15
16|25.2|1|34|10.5|10.5|9|16
16|25.2|2|35|10.5|10.5|9|16
16|25.2|3|4|10.5|4.2|9|16
17|4.2|1|79|10.5|2.1|13|17
17|4.2|2|89|10.5|2.1|13|17
